ZoneID,STATEFP,State,NAME,NAMELSAD,CompleteName,StateCompleteName,ASCName,BEAName,Fullname
184,55,WI,Shawano,Shawano County,"Shawano County, WI",Wisconsin,"Shawano County, Wisconsin","Shawano, WI","Shawano County, WI"
185,55,WI,Dodge,Dodge County,"Dodge County, WI",Wisconsin,"Dodge County, Wisconsin","Dodge, WI","Dodge County, WI"
186,17,IL,Boone,Boone County,"Boone County, IL",Illinois,"Boone County, Illinois","Boone, IL","Boone County, IL"
187,55,WI,Dane,Dane County,"Dane County, WI",Wisconsin,"Dane County, Wisconsin","Dane, WI","Dane County, WI"
188,27,MN,St. Louis,St. Louis County,"St. Louis County, MN",Minnesota,"St. Louis County, Minnesota","St. Louis, MN","St. Louis County, MN"
189,55,WI,Calumet,Calumet County,"Calumet County, WI",Wisconsin,"Calumet County, Wisconsin","Calumet, WI","Calumet County, WI"
190,27,MN,Cook,Cook County,"Cook County, MN",Minnesota,"Cook County, Minnesota","Cook, MN","Cook County, MN"
191,55,WI,Jefferson,Jefferson County,"Jefferson County, WI",Wisconsin,"Jefferson County, Wisconsin","Jefferson, WI","Jefferson County, WI"
192,55,WI,Burnett,Burnett County,"Burnett County, WI",Wisconsin,"Burnett County, Wisconsin","Burnett, WI","Burnett County, WI"
193,55,WI,Chippewa,Chippewa County,"Chippewa County, WI",Wisconsin,"Chippewa County, Wisconsin","Chippewa, WI","Chippewa County, WI"
194,26,MI,Dickinson,Dickinson County,"Dickinson County, MI",Michigan,"Dickinson County, Michigan","Dickinson, MI","Dickinson County, MI"
195,17,IL,Will,Will County,"Will County, IL",Illinois,"Will County, Illinois","Will, IL","Will County, IL"
196,27,MN,Carlton,Carlton County,"Carlton County, MN",Minnesota,"Carlton County, Minnesota","Carlton, MN","Carlton County, MN"
197,55,WI,Douglas,Douglas County,"Douglas County, WI",Wisconsin,"Douglas County, Wisconsin","Douglas, WI","Douglas County, WI"
198,55,WI,Marquette,Marquette County,"Marquette County, WI",Wisconsin,"Marquette County, Wisconsin","Marquette, WI","Marquette County, WI"
199,27,MN,Pine,Pine County,"Pine County, MN",Minnesota,"Pine County, Minnesota","Pine, MN","Pine County, MN"
200,55,WI,Brown,Brown County,"Brown County, WI",Wisconsin,"Brown County, Wisconsin","Brown, WI","Brown County, WI"
201,17,IL,DuPage,DuPage County,"DuPage County, IL",Illinois,"DuPage County, Illinois","DuPage, IL","DuPage County, IL"
202,55,WI,Richland,Richland County,"Richland County, WI",Wisconsin,"Richland County, Wisconsin","Richland, WI","Richland County, WI"
203,17,IL,Lake,Lake County,"Lake County, IL",Illinois,"Lake County, Illinois","Lake, IL","Lake County, IL"
204,55,WI,Wood,Wood County,"Wood County, WI",Wisconsin,"Wood County, Wisconsin","Wood, WI","Wood County, WI"
205,55,WI,Winnebago,Winnebago County,"Winnebago County, WI",Wisconsin,"Winnebago County, Wisconsin","Winnebago, WI","Winnebago County, WI"
206,55,WI,Lincoln,Lincoln County,"Lincoln County, WI",Wisconsin,"Lincoln County, Wisconsin","Lincoln, WI","Lincoln County, WI"
207,55,WI,Pepin,Pepin County,"Pepin County, WI",Wisconsin,"Pepin County, Wisconsin","Pepin, WI","Pepin County, WI"
208,55,WI,Iowa,Iowa County,"Iowa County, WI",Wisconsin,"Iowa County, Wisconsin","Iowa, WI","Iowa County, WI"
209,27,MN,Hennepin,Hennepin County,"Hennepin County, MN",Minnesota,"Hennepin County, Minnesota","Hennepin, MN","Hennepin County, MN"
210,26,MI,Keweenaw,Keweenaw County,"Keweenaw County, MI",Michigan,"Keweenaw County, Michigan","Keweenaw, MI","Keweenaw County, MI"
211,55,WI,Marinette,Marinette County,"Marinette County, WI",Wisconsin,"Marinette County, Wisconsin","Marinette, WI","Marinette County, WI"
212,55,WI,Price,Price County,"Price County, WI",Wisconsin,"Price County, Wisconsin","Price, WI","Price County, WI"
213,26,MI,Houghton,Houghton County,"Houghton County, MI",Michigan,"Houghton County, Michigan","Houghton, MI","Houghton County, MI"
214,55,WI,Grant,Grant County,"Grant County, WI",Wisconsin,"Grant County, Wisconsin","Grant, WI","Grant County, WI"
215,17,IL,McHenry,McHenry County,"McHenry County, IL",Illinois,"McHenry County, Illinois","McHenry, IL","McHenry County, IL"
216,27,MN,Steele,Steele County,"Steele County, MN",Minnesota,"Steele County, Minnesota","Steele, MN","Steele County, MN"
217,55,WI,Columbia,Columbia County,"Columbia County, WI 1",Wisconsin,"Columbia County, Wisconsin","Columbia, WI","Columbia County, WI"
218,26,MI,Delta,Delta County,"Delta County, MI",Michigan,"Delta County, Michigan","Delta, MI","Delta County, MI"
219,55,WI,Clark,Clark County,"Clark County, WI",Wisconsin,"Clark County, Wisconsin","Clark, WI","Clark County, WI"
220,55,WI,St. Croix,St. Croix County,"St. Croix County, WI",Wisconsin,"St. Croix County, Wisconsin","St. Croix, WI","St. Croix County, WI"
221,55,WI,Juneau,Juneau County,"Juneau County, WI",Wisconsin,"Juneau County, Wisconsin","Juneau, WI","Juneau County, WI"
222,55,WI,Rusk,Rusk County,"Rusk County, WI",Wisconsin,"Rusk County, Wisconsin","Rusk, WI","Rusk County, WI"
223,55,WI,Waukesha,Waukesha County,"Waukesha County, WI",Wisconsin,"Waukesha County, Wisconsin","Waukesha, WI","Waukesha County, WI"
224,55,WI,Buffalo,Buffalo County,"Buffalo County, WI",Wisconsin,"Buffalo County, Wisconsin","Buffalo, WI","Buffalo County, WI"
225,55,WI,Menominee,Menominee County,"Menominee County, WI",Wisconsin,"Menominee County, Wisconsin","Menominee, WI","Menominee County, WI"
226,27,MN,Houston,Houston County,"Houston County, MN",Minnesota,"Houston County, Minnesota","Houston, MN","Houston County, MN"
227,55,WI,Manitowoc,Manitowoc County,"Manitowoc County, WI",Wisconsin,"Manitowoc County, Wisconsin","Manitowoc, WI","Manitowoc County, WI"
228,55,WI,Door,Door County,"Door County, WI",Wisconsin,"Door County, Wisconsin","Door, WI","Door County, WI"
229,27,MN,Carver,Carver County,"Carver County, MN",Minnesota,"Carver County, Minnesota","Carver, MN","Carver County, MN"
