"Population Projections by Sex, and Totals, 2010-2040 Wisconsin Counties, Final Release",,,,,,,,,,,,,,,,,,,,,
Vintage 2013 projections,,,,,,,,,,,,,,,,,,,,,
County Name,PopMale 2010,PopMale 2015,PopMale 2020,PopMale 2025,PopMale 2030,PopMale 2035,PopMale 2040,PopFem 2010,PopFem 2015,PopFem 2020,PopFem 2025,PopFem 2030,PopFem 2035,PopFem 2040,PopAll 2010,PopAll 2015,PopAll 2020,PopAll 2025,PopAll 2030,PopAll 2035,PopAll 2040
 Fond du Lac ," 49,926 ","  50,585 ","  52,055 ","  53,305 ","  54,230 ","  54,360 ","  53,950 ","  51,707 ","  52,300 ","  53,700 ","  55,180 ","  56,360 ","  56,680 ","  56,300 ","  101,633 ","  102,885 ","  105,755 ","  108,485 ","  110,590 ","  111,040 ","  110,250 "
 Forest ," 4,724 ","  4,745 ","  4,880 ","  5,090 ","  5,260 ","  5,300 ","  5,205 ","  4,580 ","  4,530 ","  4,815 ","  5,155 ","  5,450 ","  5,555 ","  5,450 ","  9,304 ","  9,275 ","  9,695 ","  10,245 ","  10,710 ","  10,855 ","  10,655 "
 Grant ," 26,636 ","  26,775 ","  27,350 ","  27,695 ","  27,780 ","  27,530 ","  27,540 ","  24,572 ","  24,960 ","  25,070 ","  25,170 ","  25,180 ","  25,230 ","  25,270 ","  51,208 ","  51,735 ","  52,420 ","  52,865 ","  52,960 ","  52,760 ","  52,810 "
 Green ," 18,241 ","  18,570 ","  19,585 ","  20,325 ","  20,975 ","  21,195 ","  21,135 ","  18,601 ","  18,780 ","  19,685 ","  20,465 ","  21,150 ","  21,415 ","  21,420 ","  36,842 ","  37,350 ","  39,270 ","  40,790 ","  42,125 ","  42,610 ","  42,555 "
 Green Lake ," 9,509 ","  9,625 ","  9,685 ","  9,820 ","  9,895 ","  9,785 ","  9,600 ","  9,542 ","  9,565 ","  9,555 ","  9,580 ","  9,550 ","  9,440 ","  9,285 ","  19,051 ","  19,190 ","  19,240 ","  19,400 ","  19,445 ","  19,225 ","  18,885 "
 Iowa ," 11,878 ","  12,015 ","  12,595 ","  13,095 ","  13,490 ","  13,585 ","  13,405 ","  11,809 ","  11,840 ","  12,440 ","  13,055 ","  13,615 ","  13,805 ","  13,585 ","  23,687 ","  23,855 ","  25,035 ","  26,150 ","  27,105 ","  27,390 ","  26,990 "
 Iron ," 2,959 ","  2,825 ","  2,825 ","  2,855 ","  2,865 ","  2,760 ","  2,550 ","  2,957 ","  2,795 ","  2,855 ","  2,995 ","  3,105 ","  3,065 ","  2,870 ","  5,916 ","  5,620 ","  5,680 ","  5,850 ","  5,970 ","  5,825 ","  5,420 "
 Jackson ," 10,874 ","  11,260 ","  11,545 ","  11,965 ","  12,240 ","  12,315 ","  12,205 ","  9,575 ","  9,870 ","  10,215 ","  10,620 ","  10,960 ","  11,055 ","  11,085 ","  20,449 ","  21,130 ","  21,760 ","  22,585 ","  23,200 ","  23,370 ","  23,290 "
 Jefferson ," 41,638 ","  42,505 ","  44,955 ","  46,900 ","  48,635 ","  49,585 ","  50,000 ","  42,048 ","  42,950 ","  45,165 ","  46,960 ","  48,670 ","  49,680 ","  50,300 ","  83,686 ","  85,455 ","  90,120 ","  93,860 ","  97,305 ","  99,265 ","  100,300 "
 Juneau ," 14,029 ","  14,460 ","  14,940 ","  15,505 ","  15,940 ","  15,945 ","  15,720 ","  12,635 ","  12,845 ","  13,190 ","  13,575 ","  13,850 ","  13,860 ","  13,745 ","  26,664 ","  27,305 ","  28,130 ","  29,080 ","  29,790 ","  29,805 ","  29,465 "
 Kenosha ," 82,444 ","  84,600 ","  90,285 ","  95,005 ","  99,340 ","  102,160 ","  103,690 ","  83,982 ","  86,100 ","  91,690 ","  96,630 ","  101,280 ","  104,250 ","  105,980 ","  166,426 ","  170,700 ","  181,975 ","  191,635 ","  200,620 ","  206,410 ","  209,670 "
 Kewaunee ," 10,460 ","  10,480 ","  10,680 ","  10,870 ","  11,010 ","  10,925 ","  10,710 ","  10,114 ","  10,025 ","  10,335 ","  10,655 ","  10,930 ","  10,945 ","  10,765 ","  20,574 ","  20,505 ","  21,015 ","  21,525 ","  21,940 ","  21,870 ","  21,475 "
 La Crosse ," 55,961 ","  57,915 ","  59,750 ","  61,370 ","  62,730 ","  63,520 ","  64,370 ","  58,677 ","  60,670 ","  62,350 ","  64,000 ","  65,390 ","  66,310 ","  67,130 ","  114,638 ","  118,585 ","  122,100 ","  125,370 ","  128,120 ","  129,830 ","  131,500 "
 Lafayette ," 8,582 ","  8,620 ","  8,735 ","  8,765 ","  8,800 ","  8,840 ","  8,840 ","  8,254 ","  8,420 ","  8,620 ","  8,790 ","  8,920 ","  9,100 ","  9,255 ","  16,836 ","  17,040 ","  17,355 ","  17,555 ","  17,720 ","  17,940 ","  18,095 "
 Langlade ," 10,032 ","  9,975 ","  9,990 ","  10,105 ","  10,115 ","  9,995 ","  9,665 ","  9,945 ","  9,790 ","  9,925 ","  10,105 ","  10,225 ","  10,145 ","  9,805 ","  19,977 ","  19,765 ","  19,915 ","  20,210 ","  20,340 ","  20,140 ","  19,470 "
 Lincoln ," 14,412 ","  14,270 ","  14,670 ","  15,155 ","  15,510 ","  15,380 ","  14,705 ","  14,331 ","  14,145 ","  14,500 ","  14,945 ","  15,240 ","  15,200 ","  14,650 ","  28,743 ","  28,415 ","  29,170 ","  30,100 ","  30,750 ","  30,580 ","  29,355 "
 Manitowoc ," 40,489 ","  40,070 ","  40,710 ","  41,205 ","  41,380 ","  40,980 ","  39,670 ","  40,953 ","  40,360 ","  40,690 ","  40,840 ","  40,850 ","  40,470 ","  39,250 ","  81,442 ","  80,430 ","  81,400 ","  82,045 ","  82,230 ","  81,450 ","  78,920 "
 Marathon ," 67,308 ","  68,680 ","  71,870 ","  74,315 ","  76,220 ","  77,240 ","  77,540 ","  66,755 ","  67,830 ","  70,330 ","  72,280 ","  73,910 ","  74,880 ","  75,250 ","  134,063 ","  136,510 ","  142,200 ","  146,595 ","  150,130 ","  152,120 ","  152,790 "
 Marinette ," 20,758 ","  20,550 ","  20,835 ","  21,235 ","  21,385 ","  21,075 ","  20,305 ","  20,991 ","  20,630 ","  21,090 ","  21,630 ","  22,015 ","  21,880 ","  21,140 ","  41,749 ","  41,180 ","  41,925 ","  42,865 ","  43,400 ","  42,955 ","  41,445 "
 Marquette ," 7,808 ","  8,130 ","  8,320 ","  8,730 ","  8,955 ","  8,920 ","  8,680 ","  7,596 ","  7,870 ","  7,995 ","  8,240 ","  8,370 ","  8,385 ","  8,335 ","  15,404 ","  16,000 ","  16,315 ","  16,970 ","  17,325 ","  17,305 ","  17,015 "
 Menominee ," 2,098 ","  2,140 ","  2,275 ","  2,420 ","  2,560 ","  2,670 ","  2,590 ","  2,134 ","  2,170 ","  2,290 ","  2,425 ","  2,550 ","  2,655 ","  2,580 ","  4,232 ","  4,310 ","  4,565 ","  4,845 ","  5,110 ","  5,325 ","  5,170 "
 Milwaukee ," 457,717 ","  466,450 ","  473,850 ","  477,320 ","  481,860 ","  495,130 ","  500,960 ","  490,018 ","  497,360 ","  498,760 ","  497,360 ","  498,590 ","  509,600 ","  515,290 ","  947,735 ","  963,810 ","  972,610 ","  974,680 ","  980,450 ","  1,004,730 ","  1,016,250 "
