Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol
AVTX NA Equity,Avantium N.V.,EUR,NA,NL,Common Stock,3.27,272820.6
PRQR US Equity,ProQR Therapeutics NV,USD,US,NL,Common Stock,0.66,1116981.5
LVTX US Equity,LAVA Therapeutics NV,USD,US,NL,Common Stock,3,8102.833496
BAMNB NA Equity,Koninklijke BAM Groep NV,EUR,NA,NL,Common Stock,2.654,921948.6
NOG LN Equity,Nostrum Oil & Gas PLC,GBp,LN,NL,Common Stock,7.3,143027.8
BRNL NA Equity,Brunel International NV,EUR,NA,NL,Common Stock,10.72,49960.73
AZRN NA Equity,Azerion Group N.V.,EUR,NA,NL,Common Stock,8.76,3387.933
VEON NA Equity,VEON Ltd,EUR,NA,NL,Common Stock,0.604,29371.8
PACE NA Equity,Pegasus Acquisition Co Europe BV,EUR,NA,NL,Common Stock,9.75,16189.33
ACOMO NA Equity,Amsterdam Commodities NV,EUR,NA,NL,Common Stock,23.9,7268.033
KENDR NA Equity,Kendrion NV,EUR,NA,NL,Common Stock,17.9,8498.9
BOLS NA Equity,Lucas Bols NV,EUR,NA,NL,Common Stock,10.9,7721.233
ATC NA Equity,Altice Europe NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
SLIGR NA Equity,Sligro Food Group NV,EUR,NA,NL,Common Stock,20,37750.6
AKZO SW Equity,Akzo Nobel NV,CHF,SW,NL,Common Stock,#N/A N/A,#N/A N/A
QIA GR Equity,QIAGEN NV,EUR,GR,NL,Common Stock,42.44,515226.9
ESG NA Equity,ESG Core Investments BV,EUR,NA,NL,Common Stock,9.58,92770.03
PHVS US Equity,Pharvaris NV,USD,US,NL,Common Stock,17.994,23864.56641
PRYME NO Equity,Pryme NV,NOK,NO,NL,Common Stock,12.35,216407.3
DPEU LN Equity,DP Eurasia NV,GBp,LN,NL,Common Stock,53,154921.4
ONWD BB Equity,Onward Medical BV,EUR,BB,NL,Common Stock,6.7,4865.833
PPH LN Equity,PPHE Hotel Group Ltd,GBp,LN,NL,Common Stock,1600,4439.767
